id,indexed_date,language,media_name,media_url,publish_date,title,url
373989879aa6248a7e85e028ee252cef2b853f1b6901f6a6d0af18f0e9ff2c72,2025-12-15 05:24:36.429942+00:00,pt,brasildefato.com.br,brasildefato.com.br,2025-12-14,Congresso Nacional de Jornalistas define agenda de lutas e declara enfrentamento à censura,https://www.brasildefato.com.br/2025/12/14/congresso-nacional-de-jornalistas-define-agenda-de-lutas-e-declara-enfrentamento-a-censura/
da9ee3c76119c0f0006e8ea9a4c6a55a54cdb2bbeeac0eb32b18d9e9fcb88df4,2025-12-14 17:17:16.563557+00:00,pt,jornaldiadia.com.br,jornaldiadia.com.br,2020-12-14,Era uma vez uma boa história 💬…,https://jornaldiadia.com.br/era-uma-vez-uma-boa-historia-%F0%9F%92%AC/
0ea060de29ca9decf44bd9925bd3ca4cc179ab72b4574e4b0b29483507be4d06,2025-12-14 14:25:46.735592+00:00,pt,abril.com.br,abril.com.br,2025-12-14,Governo apresenta projeto para criar sistema que fiscalizará uso de IA,https://veja.abril.com.br/politica/governo-apresenta-projeto-para-criar-sistema-que-fiscalizara-uso-de-ia/
96756f88d4c0901b0fe4878d304773455aa4740b0d74923619c1459a839eea87,2025-12-14 11:19:00.206722+00:00,pt,correiobraziliense.com.br,correiobraziliense.com.br,2025-12-14,NeoindustrializaÃ§Ã£o ganha forÃ§a no Distrito Federal,https://www.correiobraziliense.com.br/cidades-df/2025/12/7307602-neoindustrializacao-ganha-forca-no-distrito-federal.html
2044071d29c4067bcfa701fe135409eefdd35e279e89c8653b76b1fe30741bdf,2025-12-13 15:18:55.324835+00:00,pt,sapo.pt,sapo.pt,2025-12-13,África do Sul pressiona mudança que permita a entrada de empresa de Musk,https://sapo.pt/artigo/africa-do-sul-pressiona-mudanca-que-permita-a-entrada-de-empresa-de-musk-693d76543f60755bbf995a02
f70b243d3ce598caaed47c6ea5597bbfe024ba4de2b2f90787b2d8354c79bcd6,2025-12-13 02:32:03.374544+00:00,pt,noticiasaominuto.com,noticiasaominuto.com,2025-12-12,Trump impede estados dos EUA de criar leis de Inteligência Artificial,https://www.noticiasaominuto.com/tech/2902951/trump-bloqueia-estados-dos-eua-de-criar-leis-de-inteligencia-artificial#utm_source=rss-ultima-hora&utm_medium=rss&utm_campaign=rssfeed
75ca6def03ecf1e4bbd81f9d68cfa1c365d1a34c17d590759e65c7af618c7b77,2025-12-12 23:17:52.058757+00:00,pt,jornaldooeste.com.br,jornaldooeste.com.br,2025-12-12,Cinco casas novas estão em construção em Rio Bonito do Iguaçu,https://www.jornaldooeste.com.br/rio-bonito-3/
95b00350ee255164098ea15fa1eb0649a359e1fd58b0345ecee024bc82d221c8,2025-12-12 21:26:03.193621+00:00,pt,sapo.pt,sapo.pt,2025-12-12,"""Lei do lóbi vem regular, de forma clara, o relacionamento entre entidades privadas e públicas""",https://sapo.pt/artigo/lei-do-lobi-vem-regular-de-forma-clara-o-relacionamento-entre-entidades-privadas-e-publicas-693c6c1824f8cdbd176a04ac
1a85937496394ae465caeba0db898903073fa8eb4df23e59a9f111a8effb0b87,2025-12-12 20:33:01.334200+00:00,pt,vgnoticias.com.br,vgnoticias.com.br,2025-12-12,Cuiabá propõe novo modelo de cálculo do IPTU e imposto pode mudar a partir de 2026,https://www.vgnoticias.com.br/politica/cuiaba-propoe-novo-modelo-de-calculo-do-iptu-e-imposto-pode-mudar-a-partir-de-2026/139820
3b382c2b4fb3f05ba132623ce0622b9371d4e54fb44236f353d1f31f9ebceb1f,2025-12-12 20:23:25.060223+00:00,pt,boainformacao.com.br,boainformacao.com.br,2025-12-12,"A ordem executiva de IA de Trump promete “um livro de regras”. Em vez disso, as startups podem entrar no limbo jurídico.",https://boainformacao.com.br/2025/12/a-ordem-executiva-de-ia-de-trump-promete-um-livro-de-regras-em-vez-disso-as-startups-podem-entrar-no-limbo-juridico/
efd8540148fd3648b667bfe111941041719ebf487c3abf37a2ee3d422aa9a871,2025-12-12 20:18:16.142047+00:00,pt,dn.pt,dn.pt,2025-12-12,Êxodo Imigrante em Portugal: Saídas de Trabalhadores Estrangeiros Disparam 40% em 2024,https://www.dn.pt/economia/trabalhadores-imigrantes-abandonam-portugal-nmero-de-sadas-aumenta-40
4a36ac9e9980719c8ff3303aa9f044c56929736e2c403a59b0ca3ff7f2514164,2025-12-12 18:29:41.143536+00:00,pt,observador.pt,observador.pt,2025-12-12,Trump impede estados dos EUA de elaborarem leis próprias de inteligência artificial,https://observador.pt/2025/12/12/trump-impede-estados-dos-eua-de-elaborarem-leis-proprias-de-inteligencia-artificial/
